level,gen,Efetivo,Comissionado,Terceirizado,Temporário,total,uf,mes,ano,var
Psicólogos/as,Total,12,1,10,21,44,sc,jun,2020,psico
Médicos/as - psiquiatras,Total,3,0,5,7,15,sc,jun,2020,psico
Psicólogos/as,Total,3,0,2,0,5,se,dez,2014,psico
Médicos/as - psiquiatras,Total,2,0,1,0,3,se,dez,2014,psico
Psicólogos/as,Total,2,1,2,0,5,se,jun,2014,psico
Médicos/as - psiquiatras,Total,0,0,1,0,1,se,jun,2014,psico
Psicólogos/as,Total,1,0,2,0,3,se,dez,2015,psico
Médicos/as - psiquiatras,Total,2,0,1,0,3,se,dez,2015,psico
Psicólogos/as,Total,2,0,4,0,6,se,dez,2016,psico
Médicos/as - psiquiatras,Total,2,0,2,0,4,se,dez,2016,psico
Psicólogos/as,Total,1,0,2,0,3,se,jun,2016,psico
Médicos/as - psiquiatras,Total,2,0,1,0,3,se,jun,2016,psico
Psicólogos/as,Total,2,1,5,0,8,se,dez,2017,psico
Médicos/as - psiquiatras,Total,2,0,3,0,5,se,dez,2017,psico
Psicólogos/as,Total,1,1,5,1,8,se,jun,2017,psico
Médicos/as - psiquiatras,Total,2,0,3,0,5,se,jun,2017,psico
Psicólogos/as,Total,2,1,6,0,9,se,dez,2018,psico
Médicos/as - psiquiatras,Total,2,0,3,0,5,se,dez,2018,psico
Psicólogos/as,Total,2,1,6,0,9,se,jun,2018,psico
Médicos/as - psiquiatras,Total,2,0,3,0,5,se,jun,2018,psico
Psicólogos/as,Total,2,1,6,0,9,se,dez,2019,psico
Médicos/as - psiquiatras,Total,1,0,3,0,4,se,dez,2019,psico
Psicólogos/as,Total,2,1,6,0,9,se,jun,2019,psico
Médicos/as - psiquiatras,Total,2,0,3,0,5,se,jun,2019,psico
Psicólogos/as,Total,2,1,7,1,11,se,dez,2020,psico
Médicos/as - psiquiatras,Total,2,0,4,0,6,se,dez,2020,psico
Psicólogos/as,Total,3,1,4,3,11,se,jun,2020,psico
Médicos/as - psiquiatras,Total,3,0,3,0,6,se,jun,2020,psico
Psicólogos/as,Total,314,2,4,2,322,sp,dez,2014,psico
Médicos/as - psiquiatras,Total,36,0,1,7,44,sp,dez,2014,psico
Psicólogos/as,Total,NI,NI,NI,NI,NI,sp,jun,2014,psico
Médicos/as - psiquiatras,Total,NI,NI,NI,NI,NI,sp,jun,2014,psico
Psicólogos/as,Total,313,4,0,3,320,sp,dez,2015,psico
Médicos/as - psiquiatras,Total,31,0,3,1,35,sp,dez,2015,psico
Psicólogos/as,Total,295,0,0,1,296,sp,dez,2016,psico
Médicos/as - psiquiatras,Total,36,0,3,2,41,sp,dez,2016,psico
Psicólogos/as,Total,313,4,0,3,320,sp,jun,2016,psico
Médicos/as - psiquiatras,Total,31,0,3,1,35,sp,jun,2016,psico
Psicólogos/as,Total,277,0,0,1,278,sp,dez,2017,psico
Médicos/as - psiquiatras,Total,30,0,4,0,34,sp,dez,2017,psico
Psicólogos/as,Total,288,1,1,0,290,sp,jun,2017,psico
Médicos/as - psiquiatras,Total,31,0,3,1,35,sp,jun,2017,psico
Psicólogos/as,Total,273,0,0,1,274,sp,dez,2018,psico
Médicos/as - psiquiatras,Total,25,0,6,0,31,sp,dez,2018,psico
Psicólogos/as,Total,277,0,0,1,278,sp,jun,2018,psico
Médicos/as - psiquiatras,Total,25,0,6,0,31,sp,jun,2018,psico
Psicólogos/as,Total,244,0,0,1,245,sp,dez,2019,psico
Médicos/as - psiquiatras,Total,22,0,2,0,24,sp,dez,2019,psico
Psicólogos/as,Total,257,0,0,1,258,sp,jun,2019,psico
Médicos/as - psiquiatras,Total,19,0,5,1,25,sp,jun,2019,psico
Psicólogos/as,Total,222,0,1,0,223,sp,dez,2020,psico
Médicos/as - psiquiatras,Total,20,0,3,0,23,sp,dez,2020,psico
Psicólogos/as,Total,236,0,0,0,236,sp,jun,2020,psico
Médicos/as - psiquiatras,Total,21,0,2,0,23,sp,jun,2020,psico
Psicólogos/as,Total,2,0,2,1,5,to,dez,2014,psico
Médicos/as - psiquiatras,Total,1,0,0,0,1,to,dez,2014,psico
Psicólogos/as,Total,2,1,4,0,7,to,jun,2014,psico
Médicos/as - psiquiatras,Total,0,0,1,0,1,to,jun,2014,psico
Psicólogos/as,Total,2,2,3,2,9,to,dez,2015,psico
Médicos/as - psiquiatras,Total,0,1,0,0,1,to,dez,2015,psico
Psicólogos/as,Total,1,0,3,1,5,to,dez,2016,psico
Médicos/as - psiquiatras,Total,0,0,0,0,0,to,dez,2016,psico
Psicólogos/as,Total,3,1,3,2,9,to,jun,2016,psico
Médicos/as - psiquiatras,Total,0,0,0,0,0,to,jun,2016,psico
Psicólogos/as,Total,5,2,1,0,8,to,dez,2017,psico
Médicos/as - psiquiatras,Total,0,0,1,0,1,to,dez,2017,psico
Psicólogos/as,Total,6,0,0,1,7,to,jun,2017,psico
Médicos/as - psiquiatras,Total,0,0,0,0,0,to,jun,2017,psico
Psicólogos/as,Total,4,0,0,2,6,to,dez,2018,psico
Médicos/as - psiquiatras,Total,0,0,2,0,2,to,dez,2018,psico
Psicólogos/as,Total,6,2,0,0,8,to,jun,2018,psico
Médicos/as - psiquiatras,Total,0,0,1,0,1,to,jun,2018,psico
Psicólogos/as,Total,5,0,0,2,7,to,dez,2019,psico
Médicos/as - psiquiatras,Total,0,0,2,0,2,to,dez,2019,psico
Psicólogos/as,Total,4,0,0,1,5,to,jun,2019,psico
Médicos/as - psiquiatras,Total,0,0,2,0,2,to,jun,2019,psico
Psicólogos/as,Total,3,0,0,3,6,to,dez,2020,psico
Médicos/as - psiquiatras,Total,0,0,2,1,3,to,dez,2020,psico
Psicólogos/as,Total,6,0,0,1,7,to,jun,2020,psico
Médicos/as - psiquiatras,Total,0,0,2,0,2,to,jun,2020,psico
