level,gen,Efetivo,Comissionado,Terceirizado,Temporário,total,uf,mes,ano,var
Médicos/as - psiquiatras,Total,6,0,1,3,10,go,dez,2019,psico
Psicólogos/as,Total,13,9,7,9,38,go,jun,2019,psico
Médicos/as - psiquiatras,Total,1,0,2,2,5,go,jun,2019,psico
Psicólogos/as,Total,4,11,16,5,36,go,dez,2020,psico
Médicos/as - psiquiatras,Total,1,3,5,3,12,go,dez,2020,psico
Psicólogos/as,Total,7,10,8,12,37,go,jun,2020,psico
Médicos/as - psiquiatras,Total,3,2,3,3,11,go,jun,2020,psico
Psicólogos/as,Total,2,0,12,2,16,ma,dez,2014,psico
Médicos/as - psiquiatras,Total,1,0,0,0,1,ma,dez,2014,psico
Psicólogos/as,Total,4,1,10,1,16,ma,jun,2014,psico
Médicos/as - psiquiatras,Total,1,0,1,0,2,ma,jun,2014,psico
Psicólogos/as,Total,7,0,8,23,38,ma,dez,2015,psico
Médicos/as - psiquiatras,Total,0,0,0,0,0,ma,dez,2015,psico
Psicólogos/as,Total,4,0,0,41,45,ma,dez,2016,psico
Médicos/as - psiquiatras,Total,0,0,1,0,1,ma,dez,2016,psico
Psicólogos/as,Total,7,0,8,23,38,ma,jun,2016,psico
Médicos/as - psiquiatras,Total,0,0,0,0,0,ma,jun,2016,psico
Psicólogos/as,Total,4,0,0,46,50,ma,dez,2017,psico
Médicos/as - psiquiatras,Total,0,0,0,1,1,ma,dez,2017,psico
Psicólogos/as,Total,4,0,0,41,45,ma,jun,2017,psico
Médicos/as - psiquiatras,Total,0,0,1,0,1,ma,jun,2017,psico
Psicólogos/as,Total,5,0,0,51,56,ma,dez,2018,psico
Médicos/as - psiquiatras,Total,0,0,0,1,1,ma,dez,2018,psico
Psicólogos/as,Total,4,0,0,46,50,ma,jun,2018,psico
Médicos/as - psiquiatras,Total,0,0,0,1,1,ma,jun,2018,psico
Psicólogos/as,Total,0,0,1,42,43,ma,dez,2019,psico
Médicos/as - psiquiatras,Total,0,0,0,1,1,ma,dez,2019,psico
Psicólogos/as,Total,4,0,0,49,53,ma,jun,2019,psico
Médicos/as - psiquiatras,Total,0,0,0,1,1,ma,jun,2019,psico
Psicólogos/as,Total,3,1,0,47,51,ma,dez,2020,psico
Médicos/as - psiquiatras,Total,0,0,0,1,1,ma,dez,2020,psico
Psicólogos/as,Total,0,0,0,41,41,ma,jun,2020,psico
Médicos/as - psiquiatras,Total,0,0,0,1,1,ma,jun,2020,psico
Psicólogos/as,Total,138,6,20,69,233,mg,dez,2014,psico
Médicos/as - psiquiatras,Total,24,1,8,2,35,mg,dez,2014,psico
Psicólogos/as,Total,64,1,18,107,190,mg,jun,2014,psico
Médicos/as - psiquiatras,Total,16,0,5,7,28,mg,jun,2014,psico
Psicólogos/as,Total,147,5,11,65,228,mg,dez,2015,psico
Médicos/as - psiquiatras,Total,23,0,2,5,30,mg,dez,2015,psico
Psicólogos/as,Total,246,2,19,67,334,mg,dez,2016,psico
Médicos/as - psiquiatras,Total,23,0,2,7,32,mg,dez,2016,psico
Psicólogos/as,Total,145,5,11,65,226,mg,jun,2016,psico
Médicos/as - psiquiatras,Total,23,0,2,5,30,mg,jun,2016,psico
Psicólogos/as,Total,152,4,22,41,219,mg,dez,2017,psico
Médicos/as - psiquiatras,Total,24,0,4,4,32,mg,dez,2017,psico
Psicólogos/as,Total,143,2,22,61,228,mg,jun,2017,psico
Médicos/as - psiquiatras,Total,26,1,5,5,37,mg,jun,2017,psico
Psicólogos/as,Total,144,5,17,43,209,mg,dez,2018,psico
Médicos/as - psiquiatras,Total,25,1,2,5,33,mg,dez,2018,psico
Psicólogos/as,Total,145,2,15,47,209,mg,jun,2018,psico
Médicos/as - psiquiatras,Total,23,0,2,6,31,mg,jun,2018,psico
Psicólogos/as,Total,126,6,33,26,191,mg,dez,2019,psico
Médicos/as - psiquiatras,Total,16,0,9,5,30,mg,dez,2019,psico
Psicólogos/as,Total,139,1,29,37,206,mg,jun,2019,psico
Médicos/as - psiquiatras,Total,19,0,4,6,29,mg,jun,2019,psico
Psicólogos/as,Total,128,1,37,24,190,mg,dez,2020,psico
Médicos/as - psiquiatras,Total,16,0,11,5,32,mg,dez,2020,psico
Psicólogos/as,Total,132,1,39,21,193,mg,jun,2020,psico
Médicos/as - psiquiatras,Total,16,0,10,5,31,mg,jun,2020,psico
Psicólogos/as,Total,31,0,0,0,31,ms,dez,2014,psico
Médicos/as - psiquiatras,Total,8,0,0,0,8,ms,dez,2014,psico
Psicólogos/as,Total,34,0,1,0,35,ms,jun,2014,psico
Médicos/as - psiquiatras,Total,7,0,1,0,8,ms,jun,2014,psico
Psicólogos/as,Total,31,0,0,0,31,ms,dez,2015,psico
Médicos/as - psiquiatras,Total,3,0,0,0,3,ms,dez,2015,psico
Psicólogos/as,Total,29,0,0,0,29,ms,dez,2016,psico
Médicos/as - psiquiatras,Total,4,0,1,1,6,ms,dez,2016,psico
Psicólogos/as,Total,31,0,0,0,31,ms,jun,2016,psico
Médicos/as - psiquiatras,Total,3,0,0,0,3,ms,jun,2016,psico
Psicólogos/as,Total,32,0,0,0,32,ms,dez,2017,psico
Médicos/as - psiquiatras,Total,5,0,2,0,7,ms,dez,2017,psico
Psicólogos/as,Total,31,0,0,0,31,ms,jun,2017,psico
Médicos/as - psiquiatras,Total,6,0,0,0,6,ms,jun,2017,psico
Psicólogos/as,Total,31,0,0,0,31,ms,dez,2018,psico
Médicos/as - psiquiatras,Total,5,0,1,0,6,ms,dez,2018,psico
Psicólogos/as,Total,29,0,0,0,29,ms,jun,2018,psico
Médicos/as - psiquiatras,Total,5,0,2,0,7,ms,jun,2018,psico
Psicólogos/as,Total,36,0,0,0,36,ms,dez,2019,psico
Médicos/as - psiquiatras,Total,4,0,1,1,6,ms,dez,2019,psico
Psicólogos/as,Total,32,0,0,0,32,ms,jun,2019,psico
Médicos/as - psiquiatras,Total,3,1,1,0,5,ms,jun,2019,psico
Psicólogos/as,Total,40,0,2,0,42,ms,dez,2020,psico
Médicos/as - psiquiatras,Total,3,0,1,0,4,ms,dez,2020,psico
Psicólogos/as,Total,31,0,0,0,31,ms,jun,2020,psico
Médicos/as - psiquiatras,Total,5,0,0,1,6,ms,jun,2020,psico
Psicólogos/as,Total,27,0,1,0,28,mt,dez,2014,psico
Médicos/as - psiquiatras,Total,1,0,0,0,1,mt,dez,2014,psico
Psicólogos/as,Total,23,0,0,0,23,mt,jun,2014,psico
Médicos/as - psiquiatras,Total,2,0,0,0,2,mt,jun,2014,psico
Psicólogos/as,Total,28,0,0,0,28,mt,dez,2015,psico
Médicos/as - psiquiatras,Total,0,0,0,0,0,mt,dez,2015,psico
Psicólogos/as,Total,26,0,0,0,26,mt,dez,2016,psico
Médicos/as - psiquiatras,Total,1,0,0,1,2,mt,dez,2016,psico
Psicólogos/as,Total,28,0,0,0,28,mt,jun,2016,psico
Médicos/as - psiquiatras,Total,0,0,0,0,0,mt,jun,2016,psico
Psicólogos/as,Total,26,0,0,0,26,mt,dez,2017,psico
Médicos/as - psiquiatras,Total,0,0,0,0,0,mt,dez,2017,psico
Psicólogos/as,Total,23,0,0,1,24,mt,jun,2017,psico
Médicos/as - psiquiatras,Total,1,0,0,0,1,mt,jun,2017,psico
Psicólogos/as,Total,28,0,0,0,28,mt,dez,2018,psico
Médicos/as - psiquiatras,Total,0,0,0,0,0,mt,dez,2018,psico
Psicólogos/as,Total,26,0,0,0,26,mt,jun,2018,psico
Médicos/as - psiquiatras,Total,0,0,0,0,0,mt,jun,2018,psico
Psicólogos/as,Total,26,0,0,0,26,mt,dez,2019,psico
Médicos/as - psiquiatras,Total,0,0,0,0,0,mt,dez,2019,psico
Psicólogos/as,Total,28,0,0,0,28,mt,jun,2019,psico
Médicos/as - psiquiatras,Total,0,0,0,0,0,mt,jun,2019,psico
Psicólogos/as,Total,27,0,2,0,29,mt,dez,2020,psico
Médicos/as - psiquiatras,Total,2,0,0,0,2,mt,dez,2020,psico
Psicólogos/as,Total,26,0,0,0,26,mt,jun,2020,psico
Médicos/as - psiquiatras,Total,0,0,1,0,1,mt,jun,2020,psico
Psicólogos/as,Total,15,0,0,35,50,pa,dez,2014,psico
Médicos/as - psiquiatras,Total,0,0,0,1,1,pa,dez,2014,psico
Psicólogos/as,Total,21,0,2,27,50,pa,jun,2014,psico
Médicos/as - psiquiatras,Total,0,0,0,1,1,pa,jun,2014,psico
Psicólogos/as,Total,10,0,0,31,41,pa,dez,2015,psico
Médicos/as - psiquiatras,Total,0,0,0,0,0,pa,dez,2015,psico
Psicólogos/as,Total,22,1,0,25,48,pa,dez,2016,psico
Médicos/as - psiquiatras,Total,0,0,0,1,1,pa,dez,2016,psico
Psicólogos/as,Total,10,0,0,31,41,pa,jun,2016,psico
Médicos/as - psiquiatras,Total,0,0,0,0,0,pa,jun,2016,psico
Psicólogos/as,Total,17,1,0,25,43,pa,dez,2017,psico
Médicos/as - psiquiatras,Total,0,0,0,2,2,pa,dez,2017,psico
Psicólogos/as,Total,15,0,0,33,48,pa,jun,2017,psico
Médicos/as - psiquiatras,Total,0,0,1,1,2,pa,jun,2017,psico
Psicólogos/as,Total,20,1,0,41,62,pa,dez,2018,psico
Médicos/as - psiquiatras,Total,0,0,0,1,1,pa,dez,2018,psico
Psicólogos/as,Total,21,0,0,35,56,pa,jun,2018,psico
Médicos/as - psiquiatras,Total,0,0,0,2,2,pa,jun,2018,psico
Psicólogos/as,Total,50,0,3,12,65,pa,dez,2019,psico
Médicos/as - psiquiatras,Total,0,0,0,0,0,pa,dez,2019,psico
Psicólogos/as,Total,18,3,2,36,59,pa,jun,2019,psico
Médicos/as - psiquiatras,Total,0,0,0,0,0,pa,jun,2019,psico
Psicólogos/as,Total,52,0,0,7,59,pa,dez,2020,psico
Médicos/as - psiquiatras,Total,0,0,0,0,0,pa,dez,2020,psico
Psicólogos/as,Total,50,0,0,7,57,pa,jun,2020,psico
Médicos/as - psiquiatras,Total,0,0,0,0,0,pa,jun,2020,psico
Psicólogos/as,Total,9,1,1,6,17,pb,dez,2014,psico
Médicos/as - psiquiatras,Total,4,0,0,0,4,pb,dez,2014,psico
Psicólogos/as,Total,16,3,0,3,22,pb,jun,2014,psico
Médicos/as - psiquiatras,Total,1,0,2,0,3,pb,jun,2014,psico
Psicólogos/as,Total,5,4,0,5,14,pb,dez,2015,psico
Médicos/as - psiquiatras,Total,0,0,0,0,0,pb,dez,2015,psico
Psicólogos/as,Total,10,0,0,5,15,pb,dez,2016,psico
Médicos/as - psiquiatras,Total,1,0,0,3,4,pb,dez,2016,psico
Psicólogos/as,Total,5,4,0,5,14,pb,jun,2016,psico
Médicos/as - psiquiatras,Total,0,0,0,0,0,pb,jun,2016,psico
Psicólogos/as,Total,13,0,1,4,18,pb,dez,2017,psico
Médicos/as - psiquiatras,Total,0,0,0,3,3,pb,dez,2017,psico
Psicólogos/as,Total,14,1,0,2,17,pb,jun,2017,psico
Médicos/as - psiquiatras,Total,1,0,0,4,5,pb,jun,2017,psico
Psicólogos/as,Total,8,3,0,7,18,pb,dez,2018,psico
Médicos/as - psiquiatras,Total,0,0,0,3,3,pb,dez,2018,psico
Psicólogos/as,Total,7,3,0,7,17,pb,jun,2018,psico
Médicos/as - psiquiatras,Total,0,0,0,3,3,pb,jun,2018,psico
Psicólogos/as,Total,6,2,0,7,15,pb,dez,2019,psico
Médicos/as - psiquiatras,Total,0,0,0,3,3,pb,dez,2019,psico
Psicólogos/as,Total,7,1,0,6,14,pb,jun,2019,psico
Médicos/as - psiquiatras,Total,0,0,0,3,3,pb,jun,2019,psico
Psicólogos/as,Total,9,2,2,5,18,pb,dez,2020,psico
Médicos/as - psiquiatras,Total,3,0,2,3,8,pb,dez,2020,psico
Psicólogos/as,Total,6,2,1,4,13,pb,jun,2020,psico
Médicos/as - psiquiatras,Total,0,0,1,4,5,pb,jun,2020,psico
Psicólogos/as,Total,20,1,7,39,67,pe,dez,2014,psico
Médicos/as - psiquiatras,Total,8,0,0,4,12,pe,dez,2014,psico
Psicólogos/as,Total,34,2,5,25,66,pe,jun,2014,psico
Médicos/as - psiquiatras,Total,5,0,0,5,10,pe,jun,2014,psico
Psicólogos/as,Total,7,0,0,53,60,pe,dez,2015,psico
Médicos/as - psiquiatras,Total,7,0,0,6,13,pe,dez,2015,psico
Psicólogos/as,Total,3,0,0,62,65,pe,dez,2016,psico
Médicos/as - psiquiatras,Total,6,0,0,5,11,pe,dez,2016,psico
Psicólogos/as,Total,7,0,0,54,61,pe,jun,2016,psico
Médicos/as - psiquiatras,Total,7,0,0,6,13,pe,jun,2016,psico
Psicólogos/as,Total,3,0,0,52,55,pe,dez,2017,psico
Médicos/as - psiquiatras,Total,5,0,0,9,14,pe,dez,2017,psico
Psicólogos/as,Total,6,0,0,50,56,pe,jun,2017,psico
Médicos/as - psiquiatras,Total,5,0,0,8,13,pe,jun,2017,psico
Psicólogos/as,Total,8,0,0,49,57,pe,dez,2018,psico
Médicos/as - psiquiatras,Total,6,0,0,12,18,pe,dez,2018,psico
Psicólogos/as,Total,8,0,0,47,55,pe,jun,2018,psico
Médicos/as - psiquiatras,Total,6,0,0,7,13,pe,jun,2018,psico
Psicólogos/as,Total,16,0,0,60,76,pe,dez,2019,psico
Médicos/as - psiquiatras,Total,9,0,0,7,16,pe,dez,2019,psico
Psicólogos/as,Total,10,0,0,51,61,pe,jun,2019,psico
Médicos/as - psiquiatras,Total,7,0,0,8,15,pe,jun,2019,psico
Psicólogos/as,Total,5,0,0,62,67,pe,dez,2020,psico
Médicos/as - psiquiatras,Total,3,0,0,14,17,pe,dez,2020,psico
Psicólogos/as,Total,5,0,0,64,69,pe,jun,2020,psico
Médicos/as - psiquiatras,Total,1,0,0,14,15,pe,jun,2020,psico
Psicólogos/as,Total,0,0,0,8,8,pi,dez,2014,psico
Médicos/as - psiquiatras,Total,0,0,0,6,6,pi,dez,2014,psico
Psicólogos/as,Total,2,1,3,1,7,pi,jun,2014,psico
Médicos/as - psiquiatras,Total,6,0,0,1,7,pi,jun,2014,psico
Psicólogos/as,Total,0,0,0,10,10,pi,dez,2015,psico
Médicos/as - psiquiatras,Total,1,0,0,4,5,pi,dez,2015,psico
Psicólogos/as,Total,0,0,0,8,8,pi,dez,2016,psico
Médicos/as - psiquiatras,Total,1,0,0,2,3,pi,dez,2016,psico
Psicólogos/as,Total,0,0,0,10,10,pi,jun,2016,psico
Médicos/as - psiquiatras,Total,1,0,0,4,5,pi,jun,2016,psico
Psicólogos/as,Total,1,4,5,5,15,pi,dez,2017,psico
Médicos/as - psiquiatras,Total,1,1,2,1,5,pi,dez,2017,psico
Psicólogos/as,Total,1,3,4,2,10,pi,jun,2017,psico
Médicos/as - psiquiatras,Total,1,0,1,2,4,pi,jun,2017,psico
Psicólogos/as,Total,1,3,3,7,14,pi,dez,2018,psico
Médicos/as - psiquiatras,Total,1,0,1,3,5,pi,dez,2018,psico
Psicólogos/as,Total,1,3,3,8,15,pi,jun,2018,psico
Médicos/as - psiquiatras,Total,1,0,2,3,6,pi,jun,2018,psico
Psicólogos/as,Total,1,2,6,6,15,pi,dez,2019,psico
Médicos/as - psiquiatras,Total,0,0,2,4,6,pi,dez,2019,psico
Psicólogos/as,Total,1,3,3,7,14,pi,jun,2019,psico
Médicos/as - psiquiatras,Total,1,0,2,1,4,pi,jun,2019,psico
Psicólogos/as,Total,0,2,12,4,18,pi,dez,2020,psico
Médicos/as - psiquiatras,Total,1,0,6,3,10,pi,dez,2020,psico
Psicólogos/as,Total,0,1,9,6,16,pi,jun,2020,psico
Médicos/as - psiquiatras,Total,1,0,4,3,8,pi,jun,2020,psico
Psicólogos/as,Total,24,0,1,0,25,pr,dez,2014,psico
Médicos/as - psiquiatras,Total,13,0,0,0,13,pr,dez,2014,psico
Psicólogos/as,Total,27,0,0,0,27,pr,jun,2014,psico
Médicos/as - psiquiatras,Total,20,0,0,0,20,pr,jun,2014,psico
Psicólogos/as,Total,44,0,0,1,45,pr,dez,2015,psico
Médicos/as - psiquiatras,Total,12,0,0,0,12,pr,dez,2015,psico
Psicólogos/as,Total,22,0,1,0,23,pr,dez,2016,psico
Médicos/as - psiquiatras,Total,7,0,0,0,7,pr,dez,2016,psico
Psicólogos/as,Total,44,0,0,1,45,pr,jun,2016,psico
Médicos/as - psiquiatras,Total,12,0,0,0,12,pr,jun,2016,psico
Psicólogos/as,Total,24,0,1,0,25,pr,dez,2017,psico
Médicos/as - psiquiatras,Total,13,0,2,1,16,pr,dez,2017,psico
Psicólogos/as,Total,23,0,1,0,24,pr,jun,2017,psico
Médicos/as - psiquiatras,Total,15,0,1,0,16,pr,jun,2017,psico
Psicólogos/as,Total,24,0,1,0,25,pr,dez,2018,psico
Médicos/as - psiquiatras,Total,13,0,2,0,15,pr,dez,2018,psico
Psicólogos/as,Total,24,0,0,0,24,pr,jun,2018,psico
Médicos/as - psiquiatras,Total,13,0,2,0,15,pr,jun,2018,psico
Psicólogos/as,Total,21,0,0,1,22,pr,dez,2019,psico
Médicos/as - psiquiatras,Total,10,0,1,1,12,pr,dez,2019,psico
Psicólogos/as,Total,22,0,1,0,23,pr,jun,2019,psico
Médicos/as - psiquiatras,Total,10,0,2,0,12,pr,jun,2019,psico
Psicólogos/as,Total,24,0,1,0,25,pr,dez,2020,psico
Médicos/as - psiquiatras,Total,9,0,2,0,11,pr,dez,2020,psico
Psicólogos/as,Total,24,0,2,0,26,pr,jun,2020,psico
Médicos/as - psiquiatras,Total,9,0,1,0,10,pr,jun,2020,psico
Psicólogos/as,Total,56,1,1,16,74,rj,dez,2014,psico
Médicos/as - psiquiatras,Total,30,0,1,2,33,rj,dez,2014,psico
Psicólogos/as,Total,0,0,0,0,0,rj,jun,2014,psico
Médicos/as - psiquiatras,Total,0,0,0,0,0,rj,jun,2014,psico
Psicólogos/as,Total,32,0,0,22,54,rj,dez,2015,psico
Médicos/as - psiquiatras,Total,0,0,0,0,0,rj,dez,2015,psico
Psicólogos/as,Total,47,1,2,8,58,rj,dez,2016,psico
Médicos/as - psiquiatras,Total,12,0,0,0,12,rj,dez,2016,psico
Psicólogos/as,Total,31,0,0,21,52,rj,jun,2016,psico
Médicos/as - psiquiatras,Total,0,0,0,0,0,rj,jun,2016,psico
Psicólogos/as,Total,38,0,2,10,50,rj,dez,2017,psico
Médicos/as - psiquiatras,Total,15,0,0,1,16,rj,dez,2017,psico
Psicólogos/as,Total,47,1,3,4,55,rj,jun,2017,psico
Médicos/as - psiquiatras,Total,21,0,0,0,21,rj,jun,2017,psico
Psicólogos/as,Total,36,0,1,0,37,rj,dez,2018,psico
Médicos/as - psiquiatras,Total,13,0,0,0,13,rj,dez,2018,psico
Psicólogos/as,Total,38,0,1,1,40,rj,jun,2018,psico
Médicos/as - psiquiatras,Total,12,0,0,0,12,rj,jun,2018,psico
Psicólogos/as,Total,27,0,2,0,29,rj,dez,2019,psico
Médicos/as - psiquiatras,Total,14,0,0,0,14,rj,dez,2019,psico
Psicólogos/as,Total,30,0,2,0,32,rj,jun,2019,psico
Médicos/as - psiquiatras,Total,15,0,1,0,16,rj,jun,2019,psico
Psicólogos/as,Total,16,0,8,2,26,rj,dez,2020,psico
Médicos/as - psiquiatras,Total,12,0,6,0,18,rj,dez,2020,psico
Psicólogos/as,Total,29,0,0,0,29,rj,jun,2020,psico
Médicos/as - psiquiatras,Total,14,0,1,0,15,rj,jun,2020,psico
Psicólogos/as,Total,1,0,0,1,2,rn,dez,2014,psico
Médicos/as - psiquiatras,Total,1,0,1,0,2,rn,dez,2014,psico
Psicólogos/as,Total,1,0,0,0,1,rn,jun,2014,psico
Médicos/as - psiquiatras,Total,0,0,1,0,1,rn,jun,2014,psico
Psicólogos/as,Total,3,0,1,0,4,rn,dez,2015,psico
Médicos/as - psiquiatras,Total,3,0,0,0,3,rn,dez,2015,psico
Psicólogos/as,Total,2,1,1,0,4,rn,dez,2016,psico
Médicos/as - psiquiatras,Total,1,0,0,0,1,rn,dez,2016,psico
Psicólogos/as,Total,3,0,1,0,4,rn,jun,2016,psico
Médicos/as - psiquiatras,Total,3,0,0,0,3,rn,jun,2016,psico
Psicólogos/as,Total,3,0,1,1,5,rn,dez,2017,psico
Médicos/as - psiquiatras,Total,2,0,0,0,2,rn,dez,2017,psico
Psicólogos/as,Total,3,0,0,1,4,rn,jun,2017,psico
Médicos/as - psiquiatras,Total,2,0,0,0,2,rn,jun,2017,psico
Psicólogos/as,Total,4,2,3,1,10,rn,dez,2018,psico
Médicos/as - psiquiatras,Total,2,0,1,0,3,rn,dez,2018,psico
Psicólogos/as,Total,3,1,1,2,7,rn,jun,2018,psico
Médicos/as - psiquiatras,Total,1,0,0,0,1,rn,jun,2018,psico
Psicólogos/as,Total,15,1,2,1,19,rn,dez,2019,psico
Médicos/as - psiquiatras,Total,1,0,1,0,2,rn,dez,2019,psico
Psicólogos/as,Total,5,1,3,2,11,rn,jun,2019,psico
Médicos/as - psiquiatras,Total,2,0,0,1,3,rn,jun,2019,psico
Psicólogos/as,Total,4,4,3,1,12,rn,dez,2020,psico
Médicos/as - psiquiatras,Total,1,0,1,0,2,rn,dez,2020,psico
Psicólogos/as,Total,6,2,2,2,12,rn,jun,2020,psico
Médicos/as - psiquiatras,Total,1,0,1,0,2,rn,jun,2020,psico
Psicólogos/as,Total,5,1,0,1,7,ro,dez,2014,psico
Médicos/as - psiquiatras,Total,5,0,0,1,6,ro,dez,2014,psico
Psicólogos/as,Total,3,0,1,0,4,ro,jun,2014,psico
Médicos/as - psiquiatras,Total,6,0,0,1,7,ro,jun,2014,psico
Psicólogos/as,Total,4,0,0,0,4,ro,dez,2015,psico
Médicos/as - psiquiatras,Total,4,0,0,0,4,ro,dez,2015,psico
Psicólogos/as,Total,5,0,0,0,5,ro,dez,2016,psico
Médicos/as - psiquiatras,Total,0,0,0,1,1,ro,dez,2016,psico
Psicólogos/as,Total,4,0,0,0,4,ro,jun,2016,psico
Médicos/as - psiquiatras,Total,4,0,0,0,4,ro,jun,2016,psico
Psicólogos/as,Total,6,0,1,1,8,ro,dez,2017,psico
Médicos/as - psiquiatras,Total,0,0,0,0,0,ro,dez,2017,psico
Psicólogos/as,Total,6,0,0,0,6,ro,jun,2017,psico
Médicos/as - psiquiatras,Total,0,0,0,0,0,ro,jun,2017,psico
Psicólogos/as,Total,8,0,0,2,10,ro,dez,2018,psico
Médicos/as - psiquiatras,Total,0,0,0,0,0,ro,dez,2018,psico
Psicólogos/as,Total,7,0,0,1,8,ro,dez,2019,psico
Médicos/as - psiquiatras,Total,0,0,0,0,0,ro,dez,2019,psico
Psicólogos/as,Total,6,0,0,4,10,ro,jun,2019,psico
Médicos/as - psiquiatras,Total,0,0,0,0,0,ro,jun,2019,psico
Psicólogos/as,Total,7,0,1,8,16,ro,dez,2020,psico
Médicos/as - psiquiatras,Total,0,0,0,0,0,ro,dez,2020,psico
Psicólogos/as,Total,7,0,0,0,7,ro,jun,2020,psico
Médicos/as - psiquiatras,Total,0,0,0,0,0,ro,jun,2020,psico
Psicólogos/as,Total,2,1,0,0,3,rr,dez,2014,psico
