level,masc,fem,total,uf,mes,ano,var
Óbitos naturais/ óbitos por motivos de saúde,7,0,7,df,dez,2020,suic
Óbitos criminais,4,0,4,df,dez,2020,suic
Óbitos suicídios,0,0,0,df,dez,2020,suic
Óbitos acidentais,0,0,0,df,dez,2020,suic
Óbitos com causa desconhecida,3,0,3,df,dez,2020,suic
Óbitos naturais/ óbitos por motivos de saúde,12,0,12,df,jun,2020,suic
Óbitos criminais,4,0,4,df,jun,2020,suic
Óbitos suicídios,4,0,4,df,jun,2020,suic
Óbitos acidentais,0,0,0,df,jun,2020,suic
Óbitos com causa desconhecida,9,0,9,df,jun,2020,suic
Óbitos naturais/ óbitos por motivos de saúde,5,0,5,es,dez,2014,suic
Óbitos criminais,4,0,4,es,dez,2014,suic
Óbitos suicídios,0,0,0,es,dez,2014,suic
Óbitos acidentais,0,0,0,es,dez,2014,suic
Óbitos com causa desconhecida,0,0,0,es,dez,2014,suic
Óbitos naturais/ óbitos por motivos de saúde,9,1,10,es,jun,2014,suic
Óbitos criminais,5,0,5,es,jun,2014,suic
Óbitos suicídios,0,0,0,es,jun,2014,suic
Óbitos acidentais,0,0,0,es,jun,2014,suic
Óbitos com causa desconhecida,2,1,3,es,jun,2014,suic
Óbitos naturais/ óbitos por motivos de saúde,11,5,16,es,dez,2015,suic
Óbitos criminais,0,0,0,es,dez,2015,suic
Óbitos suicídios,0,0,0,es,dez,2015,suic
Óbitos acidentais,0,0,0,es,dez,2015,suic
Óbitos com causa desconhecida,0,0,0,es,dez,2015,suic
Óbitos naturais/ óbitos por motivos de saúde,11,2,13,es,dez,2016,suic
Óbitos criminais,2,8,10,es,dez,2016,suic
Óbitos suicídios,1,4,5,es,dez,2016,suic
Óbitos acidentais,1,0,1,es,dez,2016,suic
Óbitos com causa desconhecida,1,0,1,es,dez,2016,suic
Óbitos naturais/ óbitos por motivos de saúde,10,1,11,es,jun,2016,suic
Óbitos criminais,1,0,1,es,jun,2016,suic
Óbitos suicídios,0,0,0,es,jun,2016,suic
Óbitos acidentais,0,0,0,es,jun,2016,suic
Óbitos com causa desconhecida,0,0,0,es,jun,2016,suic
Óbitos naturais/ óbitos por motivos de saúde,10,0,10,es,dez,2017,suic
Óbitos criminais,1,0,1,es,dez,2017,suic
Óbitos suicídios,1,0,1,es,dez,2017,suic
Óbitos acidentais,0,0,0,es,dez,2017,suic
Óbitos com causa desconhecida,2,0,2,es,dez,2017,suic
Óbitos naturais/ óbitos por motivos de saúde,7,1,8,es,jun,2017,suic
Óbitos criminais,2,0,2,es,jun,2017,suic
Óbitos suicídios,1,0,1,es,jun,2017,suic
Óbitos acidentais,0,0,0,es,jun,2017,suic
Óbitos com causa desconhecida,1,0,1,es,jun,2017,suic
Óbitos naturais/ óbitos por motivos de saúde,16,0,16,es,dez,2018,suic
Óbitos criminais,3,0,3,es,dez,2018,suic
Óbitos suicídios,1,0,1,es,dez,2018,suic
Óbitos acidentais,0,0,0,es,dez,2018,suic
Óbitos com causa desconhecida,2,0,2,es,dez,2018,suic
Óbitos naturais/ óbitos por motivos de saúde,11,1,12,es,jun,2018,suic
Óbitos criminais,2,0,2,es,jun,2018,suic
Óbitos suicídios,0,0,0,es,jun,2018,suic
Óbitos acidentais,1,0,1,es,jun,2018,suic
Óbitos com causa desconhecida,1,0,1,es,jun,2018,suic
Óbitos naturais/ óbitos por motivos de saúde,18,1,19,es,dez,2019,suic
Óbitos criminais,6,0,6,es,dez,2019,suic
Óbitos suicídios,0,0,0,es,dez,2019,suic
Óbitos acidentais,1,0,1,es,dez,2019,suic
Óbitos com causa desconhecida,0,0,0,es,dez,2019,suic
Óbitos naturais/ óbitos por motivos de saúde,21,0,21,es,jun,2019,suic
Óbitos criminais,0,0,0,es,jun,2019,suic
Óbitos suicídios,0,0,0,es,jun,2019,suic
Óbitos acidentais,0,0,0,es,jun,2019,suic
Óbitos com causa desconhecida,3,0,3,es,jun,2019,suic
Óbitos naturais/ óbitos por motivos de saúde,17,2,19,es,dez,2020,suic
Óbitos criminais,2,0,2,es,dez,2020,suic
Óbitos suicídios,2,0,2,es,dez,2020,suic
Óbitos acidentais,0,0,0,es,dez,2020,suic
Óbitos com causa desconhecida,3,0,3,es,dez,2020,suic
Óbitos naturais/ óbitos por motivos de saúde,18,0,18,es,jun,2020,suic
Óbitos criminais,4,0,4,es,jun,2020,suic
Óbitos suicídios,1,0,1,es,jun,2020,suic
Óbitos acidentais,0,0,0,es,jun,2020,suic
Óbitos com causa desconhecida,6,1,7,es,jun,2020,suic
Óbitos naturais/ óbitos por motivos de saúde,10,0,10,go,dez,2014,suic
Óbitos criminais,10,0,10,go,dez,2014,suic
Óbitos suicídios,2,0,2,go,dez,2014,suic
Óbitos acidentais,1,0,1,go,dez,2014,suic
Óbitos com causa desconhecida,2,0,2,go,dez,2014,suic
Óbitos naturais/ óbitos por motivos de saúde,11,0,11,go,jun,2014,suic
Óbitos criminais,6,0,6,go,jun,2014,suic
Óbitos suicídios,3,0,3,go,jun,2014,suic
Óbitos acidentais,0,0,0,go,jun,2014,suic
Óbitos com causa desconhecida,0,0,0,go,jun,2014,suic
Óbitos naturais/ óbitos por motivos de saúde,7,1,8,go,dez,2015,suic
Óbitos criminais,17,0,17,go,dez,2015,suic
Óbitos suicídios,2,0,2,go,dez,2015,suic
Óbitos acidentais,1,0,1,go,dez,2015,suic
Óbitos com causa desconhecida,0,0,0,go,dez,2015,suic
Óbitos naturais/ óbitos por motivos de saúde,6,0,6,go,dez,2016,suic
Óbitos criminais,12,0,12,go,dez,2016,suic
Óbitos suicídios,0,0,0,go,dez,2016,suic
Óbitos acidentais,0,0,0,go,dez,2016,suic
Óbitos com causa desconhecida,0,0,0,go,dez,2016,suic
Óbitos naturais/ óbitos por motivos de saúde,5,1,6,go,jun,2016,suic
Óbitos criminais,11,0,11,go,jun,2016,suic
Óbitos suicídios,4,0,4,go,jun,2016,suic
Óbitos acidentais,0,0,0,go,jun,2016,suic
Óbitos com causa desconhecida,1,0,1,go,jun,2016,suic
Óbitos naturais/ óbitos por motivos de saúde,7,0,7,go,dez,2017,suic
Óbitos criminais,42,0,42,go,dez,2017,suic
Óbitos suicídios,3,0,3,go,dez,2017,suic
Óbitos acidentais,1,0,1,go,dez,2017,suic
Óbitos com causa desconhecida,0,0,0,go,dez,2017,suic
Óbitos naturais/ óbitos por motivos de saúde,11,0,11,go,jun,2017,suic
Óbitos criminais,26,0,26,go,jun,2017,suic
Óbitos suicídios,2,0,2,go,jun,2017,suic
Óbitos acidentais,0,0,0,go,jun,2017,suic
Óbitos com causa desconhecida,3,0,3,go,jun,2017,suic
Óbitos naturais/ óbitos por motivos de saúde,16,0,16,go,dez,2018,suic
Óbitos criminais,27,1,28,go,dez,2018,suic
Óbitos suicídios,4,0,4,go,dez,2018,suic
Óbitos acidentais,2,0,2,go,dez,2018,suic
Óbitos com causa desconhecida,3,0,3,go,dez,2018,suic
Óbitos naturais/ óbitos por motivos de saúde,20,0,20,go,jun,2018,suic
Óbitos criminais,35,0,35,go,jun,2018,suic
Óbitos suicídios,3,0,3,go,jun,2018,suic
Óbitos acidentais,2,0,2,go,jun,2018,suic
Óbitos com causa desconhecida,4,0,4,go,jun,2018,suic
Óbitos naturais/ óbitos por motivos de saúde,15,1,16,go,dez,2019,suic
Óbitos criminais,14,0,14,go,dez,2019,suic
Óbitos suicídios,5,0,5,go,dez,2019,suic
Óbitos acidentais,0,0,0,go,dez,2019,suic
Óbitos com causa desconhecida,8,0,8,go,dez,2019,suic
Óbitos naturais/ óbitos por motivos de saúde,20,1,21,go,jun,2019,suic
Óbitos criminais,27,0,27,go,jun,2019,suic
Óbitos suicídios,9,0,9,go,jun,2019,suic
Óbitos acidentais,3,0,3,go,jun,2019,suic
Óbitos com causa desconhecida,5,0,5,go,jun,2019,suic
Óbitos naturais/ óbitos por motivos de saúde,25,0,25,go,dez,2020,suic
Óbitos criminais,5,0,5,go,dez,2020,suic
Óbitos suicídios,7,0,7,go,dez,2020,suic
Óbitos acidentais,1,0,1,go,dez,2020,suic
Óbitos com causa desconhecida,67,5,72,go,dez,2020,suic
Óbitos naturais/ óbitos por motivos de saúde,17,0,17,go,jun,2020,suic
Óbitos criminais,11,0,11,go,jun,2020,suic
Óbitos suicídios,7,0,7,go,jun,2020,suic
Óbitos acidentais,0,0,0,go,jun,2020,suic
Óbitos com causa desconhecida,1,0,1,go,jun,2020,suic
Óbitos naturais/ óbitos por motivos de saúde,3,0,3,ma,dez,2014,suic
Óbitos criminais,13,0,13,ma,dez,2014,suic
Óbitos suicídios,0,0,0,ma,dez,2014,suic
Óbitos acidentais,1,0,1,ma,dez,2014,suic
Óbitos com causa desconhecida,0,0,0,ma,dez,2014,suic
Óbitos naturais/ óbitos por motivos de saúde,4,0,4,ma,jun,2014,suic
Óbitos criminais,25,0,25,ma,jun,2014,suic
Óbitos suicídios,8,0,8,ma,jun,2014,suic
Óbitos acidentais,1,0,1,ma,jun,2014,suic
Óbitos com causa desconhecida,1,0,1,ma,jun,2014,suic
Óbitos naturais/ óbitos por motivos de saúde,7,0,7,ma,dez,2015,suic
Óbitos criminais,6,0,6,ma,dez,2015,suic
Óbitos suicídios,1,0,1,ma,dez,2015,suic
Óbitos acidentais,0,0,0,ma,dez,2015,suic
Óbitos com causa desconhecida,0,0,0,ma,dez,2015,suic
Óbitos naturais/ óbitos por motivos de saúde,8,0,8,ma,dez,2016,suic
Óbitos criminais,8,0,8,ma,dez,2016,suic
Óbitos suicídios,1,0,1,ma,dez,2016,suic
Óbitos acidentais,0,0,0,ma,dez,2016,suic
Óbitos com causa desconhecida,0,0,0,ma,dez,2016,suic
Óbitos naturais/ óbitos por motivos de saúde,12,1,13,ma,jun,2016,suic
Óbitos criminais,4,0,4,ma,jun,2016,suic
Óbitos suicídios,2,0,2,ma,jun,2016,suic
Óbitos acidentais,0,0,0,ma,jun,2016,suic
Óbitos com causa desconhecida,0,0,0,ma,jun,2016,suic
Óbitos naturais/ óbitos por motivos de saúde,6,0,6,ma,dez,2017,suic
Óbitos criminais,0,0,0,ma,dez,2017,suic
Óbitos suicídios,1,0,1,ma,dez,2017,suic
Óbitos acidentais,1,0,1,ma,dez,2017,suic
Óbitos com causa desconhecida,0,0,0,ma,dez,2017,suic
Óbitos naturais/ óbitos por motivos de saúde,4,0,4,ma,jun,2017,suic
Óbitos criminais,6,0,6,ma,jun,2017,suic
Óbitos suicídios,0,0,0,ma,jun,2017,suic
Óbitos acidentais,0,0,0,ma,jun,2017,suic
Óbitos com causa desconhecida,0,0,0,ma,jun,2017,suic
Óbitos naturais/ óbitos por motivos de saúde,16,0,16,ma,dez,2018,suic
Óbitos criminais,1,0,1,ma,dez,2018,suic
Óbitos suicídios,1,0,1,ma,dez,2018,suic
Óbitos acidentais,0,0,0,ma,dez,2018,suic
Óbitos com causa desconhecida,2,0,2,ma,dez,2018,suic
Óbitos naturais/ óbitos por motivos de saúde,7,0,7,ma,jun,2018,suic
Óbitos criminais,2,0,2,ma,jun,2018,suic
Óbitos suicídios,1,0,1,ma,jun,2018,suic
Óbitos acidentais,0,0,0,ma,jun,2018,suic
Óbitos com causa desconhecida,0,0,0,ma,jun,2018,suic
Óbitos naturais/ óbitos por motivos de saúde,3,0,3,ma,dez,2019,suic
Óbitos criminais,0,0,0,ma,dez,2019,suic
Óbitos suicídios,0,0,0,ma,dez,2019,suic
Óbitos acidentais,0,0,0,ma,dez,2019,suic
Óbitos com causa desconhecida,0,0,0,ma,dez,2019,suic
Óbitos naturais/ óbitos por motivos de saúde,7,1,8,ma,jun,2019,suic
Óbitos criminais,2,0,2,ma,jun,2019,suic
Óbitos suicídios,3,0,3,ma,jun,2019,suic
Óbitos acidentais,0,0,0,ma,jun,2019,suic
Óbitos com causa desconhecida,1,0,1,ma,jun,2019,suic
Óbitos naturais/ óbitos por motivos de saúde,4,0,4,ma,dez,2020,suic
Óbitos criminais,1,0,1,ma,dez,2020,suic
Óbitos suicídios,3,0,3,ma,dez,2020,suic
Óbitos acidentais,0,0,0,ma,dez,2020,suic
Óbitos com causa desconhecida,0,0,0,ma,dez,2020,suic
Óbitos naturais/ óbitos por motivos de saúde,17,0,17,ma,jun,2020,suic
Óbitos criminais,1,0,1,ma,jun,2020,suic
Óbitos suicídios,0,1,1,ma,jun,2020,suic
Óbitos acidentais,0,0,0,ma,jun,2020,suic
Óbitos com causa desconhecida,0,0,0,ma,jun,2020,suic
Óbitos naturais/ óbitos por motivos de saúde,47,3,50,mg,dez,2014,suic
Óbitos criminais,11,0,11,mg,dez,2014,suic
Óbitos suicídios,9,2,11,mg,dez,2014,suic
Óbitos acidentais,4,0,4,mg,dez,2014,suic
Óbitos com causa desconhecida,4,0,4,mg,dez,2014,suic
Óbitos naturais/ óbitos por motivos de saúde,35,1,36,mg,jun,2014,suic
Óbitos criminais,10,0,10,mg,jun,2014,suic
Óbitos suicídios,9,0,9,mg,jun,2014,suic
Óbitos acidentais,0,0,0,mg,jun,2014,suic
Óbitos com causa desconhecida,2,0,2,mg,jun,2014,suic
Óbitos naturais/ óbitos por motivos de saúde,71,7,78,mg,dez,2015,suic
Óbitos criminais,41,0,41,mg,dez,2015,suic
Óbitos suicídios,18,5,23,mg,dez,2015,suic
Óbitos acidentais,8,0,8,mg,dez,2015,suic
Óbitos com causa desconhecida,10,0,10,mg,dez,2015,suic
Óbitos naturais/ óbitos por motivos de saúde,21,1,22,mg,dez,2016,suic
Óbitos criminais,22,0,22,mg,dez,2016,suic
Óbitos suicídios,9,1,10,mg,dez,2016,suic
Óbitos acidentais,6,1,7,mg,dez,2016,suic
Óbitos com causa desconhecida,2,0,2,mg,dez,2016,suic
Óbitos naturais/ óbitos por motivos de saúde,31,2,33,mg,jun,2016,suic
Óbitos criminais,29,0,29,mg,jun,2016,suic
Óbitos suicídios,6,2,8,mg,jun,2016,suic
Óbitos acidentais,2,0,2,mg,jun,2016,suic
Óbitos com causa desconhecida,3,0,3,mg,jun,2016,suic
Óbitos naturais/ óbitos por motivos de saúde,29,0,29,mg,dez,2017,suic
Óbitos criminais,11,1,12,mg,dez,2017,suic
Óbitos suicídios,13,0,13,mg,dez,2017,suic
Óbitos acidentais,2,1,3,mg,dez,2017,suic
Óbitos com causa desconhecida,1,1,2,mg,dez,2017,suic
Óbitos naturais/ óbitos por motivos de saúde,35,2,37,mg,jun,2017,suic
Óbitos criminais,17,0,17,mg,jun,2017,suic
Óbitos suicídios,12,1,13,mg,jun,2017,suic
Óbitos acidentais,2,0,2,mg,jun,2017,suic
Óbitos com causa desconhecida,4,1,5,mg,jun,2017,suic
Óbitos naturais/ óbitos por motivos de saúde,35,1,36,mg,dez,2018,suic
Óbitos criminais,6,0,6,mg,dez,2018,suic
Óbitos suicídios,4,3,7,mg,dez,2018,suic
Óbitos acidentais,2,0,2,mg,dez,2018,suic
Óbitos com causa desconhecida,2,0,2,mg,dez,2018,suic
Óbitos naturais/ óbitos por motivos de saúde,35,3,38,mg,jun,2018,suic
Óbitos criminais,8,0,8,mg,jun,2018,suic
Óbitos suicídios,15,0,15,mg,jun,2018,suic
Óbitos acidentais,1,0,1,mg,jun,2018,suic
Óbitos com causa desconhecida,3,0,3,mg,jun,2018,suic
Óbitos naturais/ óbitos por motivos de saúde,45,0,45,mg,dez,2019,suic
Óbitos criminais,24,0,24,mg,dez,2019,suic
Óbitos suicídios,13,1,14,mg,dez,2019,suic
Óbitos acidentais,4,0,4,mg,dez,2019,suic
Óbitos com causa desconhecida,0,0,0,mg,dez,2019,suic
Óbitos naturais/ óbitos por motivos de saúde,35,4,39,mg,jun,2019,suic
Óbitos criminais,13,0,13,mg,jun,2019,suic
Óbitos suicídios,9,0,9,mg,jun,2019,suic
Óbitos acidentais,1,0,1,mg,jun,2019,suic
Óbitos com causa desconhecida,4,0,4,mg,jun,2019,suic
Óbitos naturais/ óbitos por motivos de saúde,9,1,10,mg,dez,2020,suic
Óbitos criminais,2,0,2,mg,dez,2020,suic
Óbitos suicídios,17,1,18,mg,dez,2020,suic
Óbitos acidentais,0,0,0,mg,dez,2020,suic
Óbitos com causa desconhecida,0,0,0,mg,dez,2020,suic
Óbitos naturais/ óbitos por motivos de saúde,36,1,37,mg,jun,2020,suic
Óbitos criminais,15,0,15,mg,jun,2020,suic
Óbitos suicídios,24,2,26,mg,jun,2020,suic
Óbitos acidentais,1,0,1,mg,jun,2020,suic
Óbitos com causa desconhecida,1,0,1,mg,jun,2020,suic
Óbitos naturais/ óbitos por motivos de saúde,6,3,9,ms,dez,2014,suic
Óbitos criminais,2,0,2,ms,dez,2014,suic
Óbitos suicídios,0,0,0,ms,dez,2014,suic
Óbitos acidentais,2,0,2,ms,dez,2014,suic
Óbitos com causa desconhecida,6,0,6,ms,dez,2014,suic
Óbitos naturais/ óbitos por motivos de saúde,7,2,9,ms,jun,2014,suic
Óbitos criminais,1,1,2,ms,jun,2014,suic
Óbitos suicídios,2,0,2,ms,jun,2014,suic
Óbitos acidentais,0,0,0,ms,jun,2014,suic
Óbitos com causa desconhecida,1,0,1,ms,jun,2014,suic
Óbitos naturais/ óbitos por motivos de saúde,22,3,25,ms,dez,2015,suic
Óbitos criminais,7,0,7,ms,dez,2015,suic
Óbitos suicídios,3,1,4,ms,dez,2015,suic
Óbitos acidentais,1,0,1,ms,dez,2015,suic
Óbitos com causa desconhecida,8,0,8,ms,dez,2015,suic
Óbitos naturais/ óbitos por motivos de saúde,12,0,12,ms,dez,2016,suic
Óbitos criminais,9,0,9,ms,dez,2016,suic
Óbitos suicídios,0,0,0,ms,dez,2016,suic
Óbitos acidentais,3,0,3,ms,dez,2016,suic
Óbitos com causa desconhecida,0,0,0,ms,dez,2016,suic
Óbitos naturais/ óbitos por motivos de saúde,21,2,23,ms,jun,2016,suic
Óbitos criminais,5,0,5,ms,jun,2016,suic
Óbitos suicídios,4,0,4,ms,jun,2016,suic
Óbitos acidentais,4,0,4,ms,jun,2016,suic
Óbitos com causa desconhecida,0,0,0,ms,jun,2016,suic
Óbitos naturais/ óbitos por motivos de saúde,18,0,18,ms,dez,2017,suic
Óbitos criminais,4,0,4,ms,dez,2017,suic
Óbitos suicídios,2,0,2,ms,dez,2017,suic
Óbitos acidentais,8,0,8,ms,dez,2017,suic
Óbitos com causa desconhecida,5,0,5,ms,dez,2017,suic
Óbitos naturais/ óbitos por motivos de saúde,12,1,13,ms,jun,2017,suic
Óbitos criminais,12,0,12,ms,jun,2017,suic
Óbitos suicídios,5,0,5,ms,jun,2017,suic
Óbitos acidentais,2,0,2,ms,jun,2017,suic
Óbitos com causa desconhecida,10,0,10,ms,jun,2017,suic
Óbitos naturais/ óbitos por motivos de saúde,10,0,10,ms,dez,2018,suic
Óbitos criminais,11,0,11,ms,dez,2018,suic
Óbitos suicídios,1,0,1,ms,dez,2018,suic
Óbitos acidentais,0,0,0,ms,dez,2018,suic
Óbitos com causa desconhecida,7,0,7,ms,dez,2018,suic
Óbitos naturais/ óbitos por motivos de saúde,15,2,17,ms,jun,2018,suic
Óbitos criminais,8,0,8,ms,jun,2018,suic
Óbitos suicídios,1,0,1,ms,jun,2018,suic
Óbitos acidentais,2,0,2,ms,jun,2018,suic
Óbitos com causa desconhecida,8,0,8,ms,jun,2018,suic
Óbitos naturais/ óbitos por motivos de saúde,25,2,27,ms,dez,2019,suic
Óbitos criminais,9,0,9,ms,dez,2019,suic
Óbitos suicídios,2,0,2,ms,dez,2019,suic
Óbitos acidentais,1,0,1,ms,dez,2019,suic
Óbitos com causa desconhecida,5,1,6,ms,dez,2019,suic
Óbitos naturais/ óbitos por motivos de saúde,13,1,14,ms,jun,2019,suic
Óbitos criminais,1,0,1,ms,jun,2019,suic
Óbitos suicídios,2,0,2,ms,jun,2019,suic
Óbitos acidentais,0,0,0,ms,jun,2019,suic
Óbitos com causa desconhecida,7,0,7,ms,jun,2019,suic
Óbitos naturais/ óbitos por motivos de saúde,23,1,24,ms,dez,2020,suic
Óbitos criminais,11,1,12,ms,dez,2020,suic
Óbitos suicídios,3,0,3,ms,dez,2020,suic
Óbitos acidentais,2,0,2,ms,dez,2020,suic
Óbitos com causa desconhecida,1,0,1,ms,dez,2020,suic
Óbitos naturais/ óbitos por motivos de saúde,19,0,19,ms,jun,2020,suic
Óbitos criminais,7,0,7,ms,jun,2020,suic
Óbitos suicídios,1,0,1,ms,jun,2020,suic
Óbitos acidentais,1,0,1,ms,jun,2020,suic
Óbitos com causa desconhecida,3,0,3,ms,jun,2020,suic
Óbitos naturais/ óbitos por motivos de saúde,9,0,9,mt,dez,2014,suic
Óbitos criminais,0,1,1,mt,dez,2014,suic
Óbitos suicídios,0,1,1,mt,dez,2014,suic
Óbitos acidentais,0,0,0,mt,dez,2014,suic
Óbitos com causa desconhecida,3,0,3,mt,dez,2014,suic
Óbitos naturais/ óbitos por motivos de saúde,9,0,9,mt,jun,2014,suic
Óbitos criminais,1,0,1,mt,jun,2014,suic
Óbitos suicídios,0,0,0,mt,jun,2014,suic
Óbitos acidentais,0,0,0,mt,jun,2014,suic
Óbitos com causa desconhecida,1,0,1,mt,jun,2014,suic
Óbitos naturais/ óbitos por motivos de saúde,37,0,37,mt,dez,2015,suic
Óbitos criminais,20,0,20,mt,dez,2015,suic
Óbitos suicídios,2,0,2,mt,dez,2015,suic
Óbitos acidentais,10,0,10,mt,dez,2015,suic
Óbitos com causa desconhecida,1,0,1,mt,dez,2015,suic
Óbitos naturais/ óbitos por motivos de saúde,7,0,7,mt,dez,2016,suic
Óbitos criminais,6,0,6,mt,dez,2016,suic
Óbitos suicídios,0,0,0,mt,dez,2016,suic
Óbitos acidentais,0,0,0,mt,dez,2016,suic
Óbitos com causa desconhecida,4,0,4,mt,dez,2016,suic
Óbitos naturais/ óbitos por motivos de saúde,8,0,8,mt,jun,2016,suic
Óbitos criminais,1,0,1,mt,jun,2016,suic
Óbitos suicídios,0,0,0,mt,jun,2016,suic
Óbitos acidentais,0,0,0,mt,jun,2016,suic
Óbitos com causa desconhecida,0,0,0,mt,jun,2016,suic
Óbitos naturais/ óbitos por motivos de saúde,3,0,3,mt,dez,2017,suic
Óbitos criminais,2,0,2,mt,dez,2017,suic
Óbitos suicídios,0,1,1,mt,dez,2017,suic
Óbitos acidentais,0,0,0,mt,dez,2017,suic
Óbitos com causa desconhecida,10,0,10,mt,dez,2017,suic
Óbitos naturais/ óbitos por motivos de saúde,8,0,8,mt,jun,2017,suic
Óbitos criminais,4,0,4,mt,jun,2017,suic
Óbitos suicídios,1,1,2,mt,jun,2017,suic
Óbitos acidentais,0,0,0,mt,jun,2017,suic
Óbitos com causa desconhecida,0,0,0,mt,jun,2017,suic
Óbitos naturais/ óbitos por motivos de saúde,13,2,15,mt,dez,2018,suic
Óbitos criminais,4,0,4,mt,dez,2018,suic
Óbitos suicídios,1,0,1,mt,dez,2018,suic
Óbitos acidentais,0,0,0,mt,dez,2018,suic
Óbitos com causa desconhecida,3,0,3,mt,dez,2018,suic
Óbitos naturais/ óbitos por motivos de saúde,9,1,10,mt,jun,2018,suic
Óbitos criminais,3,0,3,mt,jun,2018,suic
Óbitos suicídios,2,1,3,mt,jun,2018,suic
Óbitos acidentais,1,0,1,mt,jun,2018,suic
Óbitos com causa desconhecida,3,0,3,mt,jun,2018,suic
Óbitos naturais/ óbitos por motivos de saúde,10,0,10,mt,dez,2019,suic
Óbitos criminais,0,0,0,mt,dez,2019,suic
Óbitos suicídios,0,0,0,mt,dez,2019,suic
Óbitos acidentais,0,0,0,mt,dez,2019,suic
Óbitos com causa desconhecida,0,0,0,mt,dez,2019,suic
Óbitos naturais/ óbitos por motivos de saúde,9,6,15,mt,jun,2019,suic
Óbitos criminais,1,0,1,mt,jun,2019,suic
Óbitos suicídios,0,0,0,mt,jun,2019,suic
Óbitos acidentais,0,0,0,mt,jun,2019,suic
Óbitos com causa desconhecida,1,0,1,mt,jun,2019,suic
Óbitos naturais/ óbitos por motivos de saúde,5,0,5,mt,dez,2020,suic
Óbitos criminais,0,0,0,mt,dez,2020,suic
Óbitos suicídios,2,0,2,mt,dez,2020,suic
Óbitos acidentais,0,0,0,mt,dez,2020,suic
Óbitos com causa desconhecida,1,0,1,mt,dez,2020,suic
Óbitos naturais/ óbitos por motivos de saúde,9,0,9,mt,jun,2020,suic
Óbitos criminais,2,0,2,mt,jun,2020,suic
Óbitos suicídios,1,0,1,mt,jun,2020,suic
Óbitos acidentais,0,0,0,mt,jun,2020,suic
Óbitos com causa desconhecida,1,0,1,mt,jun,2020,suic
Óbitos naturais/ óbitos por motivos de saúde,14,0,14,pa,dez,2014,suic
Óbitos criminais,12,0,12,pa,dez,2014,suic
Óbitos suicídios,3,0,3,pa,dez,2014,suic
Óbitos acidentais,0,0,0,pa,dez,2014,suic
Óbitos com causa desconhecida,0,0,0,pa,dez,2014,suic
Óbitos naturais/ óbitos por motivos de saúde,14,0,14,pa,jun,2014,suic
Óbitos criminais,14,0,14,pa,jun,2014,suic
Óbitos suicídios,2,0,2,pa,jun,2014,suic
Óbitos acidentais,14,0,14,pa,jun,2014,suic
Óbitos com causa desconhecida,0,0,0,pa,jun,2014,suic
Óbitos naturais/ óbitos por motivos de saúde,16,0,16,pa,dez,2015,suic
Óbitos criminais,21,0,21,pa,dez,2015,suic
Óbitos suicídios,3,0,3,pa,dez,2015,suic
Óbitos acidentais,4,0,4,pa,dez,2015,suic
Óbitos com causa desconhecida,1,0,1,pa,dez,2015,suic
Óbitos naturais/ óbitos por motivos de saúde,6,0,6,pa,dez,2016,suic
Óbitos criminais,23,0,23,pa,dez,2016,suic
Óbitos suicídios,2,0,2,pa,dez,2016,suic
Óbitos acidentais,2,0,2,pa,dez,2016,suic
Óbitos com causa desconhecida,0,0,0,pa,dez,2016,suic
Óbitos naturais/ óbitos por motivos de saúde,9,0,9,pa,jun,2016,suic
Óbitos criminais,15,0,15,pa,jun,2016,suic
Óbitos suicídios,1,0,1,pa,jun,2016,suic
Óbitos acidentais,2,0,2,pa,jun,2016,suic
Óbitos com causa desconhecida,6,0,6,pa,jun,2016,suic
Óbitos naturais/ óbitos por motivos de saúde,9,1,10,pa,dez,2017,suic
Óbitos criminais,13,1,14,pa,dez,2017,suic
Óbitos suicídios,6,0,6,pa,dez,2017,suic
Óbitos acidentais,0,0,0,pa,dez,2017,suic
Óbitos com causa desconhecida,1,0,1,pa,dez,2017,suic
Óbitos naturais/ óbitos por motivos de saúde,14,0,14,pa,jun,2017,suic
Óbitos criminais,34,2,36,pa,jun,2017,suic
Óbitos suicídios,4,0,4,pa,jun,2017,suic
Óbitos acidentais,0,0,0,pa,jun,2017,suic
Óbitos com causa desconhecida,0,0,0,pa,jun,2017,suic
Óbitos naturais/ óbitos por motivos de saúde,20,0,20,pa,dez,2018,suic
Óbitos criminais,28,1,29,pa,dez,2018,suic
Óbitos suicídios,30,0,30,pa,dez,2018,suic
Óbitos acidentais,2,0,2,pa,dez,2018,suic
Óbitos com causa desconhecida,5,0,5,pa,dez,2018,suic
Óbitos naturais/ óbitos por motivos de saúde,11,0,11,pa,jun,2018,suic
Óbitos criminais,15,1,16,pa,jun,2018,suic
Óbitos suicídios,25,0,25,pa,jun,2018,suic
Óbitos acidentais,0,0,0,pa,jun,2018,suic
Óbitos com causa desconhecida,1,0,1,pa,jun,2018,suic
Óbitos naturais/ óbitos por motivos de saúde,14,0,14,pa,dez,2019,suic
Óbitos criminais,65,0,65,pa,dez,2019,suic
Óbitos suicídios,7,1,8,pa,dez,2019,suic
Óbitos acidentais,1,0,1,pa,dez,2019,suic
Óbitos com causa desconhecida,2,0,2,pa,dez,2019,suic
Óbitos naturais/ óbitos por motivos de saúde,20,0,20,pa,jun,2019,suic
Óbitos criminais,20,0,20,pa,jun,2019,suic
